created_at,vader_compound,vader_pos,vader_neu,vader_neg,textblob_polarity,textblob_subjectivity
2025-01-21,0.0,0.5,0.0,0.5,0.0,0.5
2025-01-22,0.25,0.625,0.25,0.375,0.25,0.5
2025-01-23,0.8,0.9,0.2,0.1,0.8,0.5
2025-01-24,0.0,0.5,0.3333333333333333,0.5,0.0,0.5
2025-01-25,-0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,-0.3333333333333333,0.5
2025-01-26,-0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,-0.3333333333333333,0.5
2025-01-27,-0.3333333333333333,0.3333333333333333,0.16666666666666666,0.6666666666666666,-0.3333333333333333,0.5
2025-01-28,0.0,0.5,1.0,0.5,0.0,0.5
2025-01-29,0.5,0.75,0.0,0.25,0.5,0.5
2025-01-30,-0.5,0.25,0.5,0.75,-0.5,0.5
2025-01-31,1.0,1.0,0.0,0.0,1.0,0.5
2025-02-01,-1.0,0.0,0.0,1.0,-1.0,0.5
2025-02-02,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5
2025-02-03,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5
2025-02-04,0.16666666666666666,0.5833333333333334,0.5,0.4166666666666667,0.16666666666666666,0.5
2025-02-05,0.75,0.875,0.25,0.125,0.75,0.5
2025-02-06,0.5,0.75,0.5,0.25,0.5,0.5
2025-02-07,0.0,0.5,0.0,0.5,0.0,0.5
2025-02-08,,,,,,
2025-02-09,0.0,0.5,0.0,0.5,0.0,0.5
2025-02-10,0.0,0.5,0.2,0.5,0.0,0.5
2025-02-11,-0.14285714285714285,0.42857142857142855,0.42857142857142855,0.5714285714285714,-0.14285714285714285,0.5
2025-02-12,0.2,0.6,0.4,0.4,0.2,0.5
2025-02-13,1.0,1.0,0.0,0.0,1.0,0.5
2025-02-14,-1.0,0.0,0.0,1.0,-1.0,0.5
2025-02-15,0.0,0.5,0.4,0.5,0.0,0.5
2025-02-16,0.25,0.625,0.25,0.375,0.25,0.5
2025-02-17,0.4,0.7,0.6,0.3,0.4,0.5
2025-02-18,0.6666666666666666,0.8333333333333334,0.0,0.16666666666666666,0.6666666666666666,0.5
2025-02-19,0.0,0.5,1.0,0.5,0.0,0.5
2025-02-20,0.25,0.625,0.0,0.375,0.25,0.5
2025-02-21,0.0,0.5,1.0,0.5,0.0,0.5
2025-02-22,1.0,1.0,0.0,0.0,1.0,0.5
2025-02-23,0.25,0.625,0.25,0.375,0.25,0.5
2025-02-24,0.5,0.75,0.5,0.25,0.5,0.5
2025-02-25,0.6666666666666666,0.8333333333333334,0.3333333333333333,0.16666666666666666,0.6666666666666666,0.5
2025-02-26,0.0,0.5,0.3333333333333333,0.5,0.0,0.5
2025-02-27,0.0,0.5,0.5,0.5,0.0,0.5
2025-02-28,0.125,0.5625,0.5,0.4375,0.125,0.5
2025-03-01,,,,,,
2025-03-02,,,,,,
2025-03-03,0.0,0.5,0.5,0.5,0.0,0.5
2025-03-04,0.5,0.75,0.5,0.25,0.5,0.5
2025-03-05,-0.5,0.25,0.5,0.75,-0.5,0.5
2025-03-06,0.0,0.5,0.5,0.5,0.0,0.5
2025-03-07,-0.25,0.375,0.25,0.625,-0.25,0.5
2025-03-08,0.5,0.75,0.5,0.25,0.5,0.5
2025-03-09,,,,,,
2025-03-10,0.0,0.5,1.0,0.5,0.0,0.5
2025-03-11,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5
2025-03-12,0.0,0.5,0.0,0.5,0.0,0.5
2025-03-13,0.0,0.5,0.0,0.5,0.0,0.5
2025-03-14,0.2,0.6,0.4,0.4,0.2,0.5
2025-03-15,1.0,1.0,0.0,0.0,1.0,0.5
2025-03-16,-0.6666666666666666,0.16666666666666666,0.3333333333333333,0.8333333333333334,-0.6666666666666666,0.5
2025-03-17,-0.5,0.25,0.5,0.75,-0.5,0.5
2025-03-18,0.0,0.5,0.4,0.5,0.0,0.5
2025-03-19,0.75,0.875,0.25,0.125,0.75,0.5
2025-03-20,-0.6666666666666666,0.16666666666666666,0.3333333333333333,0.8333333333333334,-0.6666666666666666,0.5
2025-03-21,0.0,0.5,0.6,0.5,0.0,0.5
