created_at,vader_compound,vader_pos,vader_neu,vader_neg,textblob_polarity,textblob_subjectivity
2025-01-21,0.5,0.75,0.5,0.25,0.5,0.5
2025-01-22,1.0,1.0,0.0,0.0,1.0,0.5
2025-01-23,0.0,0.5,0.5,0.5,0.0,0.5
2025-01-24,-0.2,0.4,0.0,0.6,-0.2,0.5
2025-01-25,1.0,1.0,0.0,0.0,1.0,0.5
2025-01-26,-0.25,0.375,0.25,0.625,-0.25,0.5
2025-01-27,0.25,0.625,0.25,0.375,0.25,0.5
2025-01-28,0.0,0.5,0.3333333333333333,0.5,0.0,0.5
2025-01-29,-0.6,0.2,0.4,0.8,-0.6,0.5
2025-01-30,0.0,0.5,0.6,0.5,0.0,0.5
2025-01-31,1.0,1.0,0.0,0.0,1.0,0.5
2025-02-01,0.0,0.5,0.6,0.5,0.0,0.5
2025-02-02,0.0,0.5,0.5,0.5,0.0,0.5
2025-02-03,-0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,-0.3333333333333333,0.5
2025-02-04,0.0,0.5,0.0,0.5,0.0,0.5
2025-02-05,1.0,1.0,0.0,0.0,1.0,0.5
2025-02-06,0.0,0.5,0.6,0.5,0.0,0.5
2025-02-07,0.2,0.6,0.4,0.4,0.2,0.5
2025-02-08,-0.5,0.25,0.0,0.75,-0.5,0.5
2025-02-09,0.0,0.5,0.5,0.5,0.0,0.5
2025-02-10,0.0,0.5,0.0,0.5,0.0,0.5
2025-02-11,0.2,0.6,0.4,0.4,0.2,0.5
2025-02-12,0.5,0.75,0.0,0.25,0.5,0.5
2025-02-13,0.25,0.625,0.25,0.375,0.25,0.5
2025-02-14,0.0,0.5,1.0,0.5,0.0,0.5
2025-02-15,-1.0,0.0,0.0,1.0,-1.0,0.5
2025-02-16,0.75,0.875,0.25,0.125,0.75,0.5
2025-02-17,0.0,0.5,0.25,0.5,0.0,0.5
2025-02-18,-0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,-0.3333333333333333,0.5
2025-02-19,,,,,,
2025-02-20,-0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,-0.3333333333333333,0.5
2025-02-21,0.0,0.5,0.5,0.5,0.0,0.5
2025-02-22,0.0,0.5,0.5,0.5,0.0,0.5
2025-02-23,0.0,0.5,0.0,0.5,0.0,0.5
2025-02-24,0.0,0.5,1.0,0.5,0.0,0.5
2025-02-25,-0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,-0.3333333333333333,0.5
2025-02-26,0.0,0.5,0.0,0.5,0.0,0.5
2025-02-27,0.0,0.5,1.0,0.5,0.0,0.5
2025-02-28,0.0,0.5,0.0,0.5,0.0,0.5
2025-03-01,0.0,0.5,0.0,0.5,0.0,0.5
2025-03-02,0.5,0.75,0.0,0.25,0.5,0.5
2025-03-03,0.0,0.5,1.0,0.5,0.0,0.5
2025-03-04,0.0,0.5,0.5,0.5,0.0,0.5
2025-03-05,-0.5,0.25,0.25,0.75,-0.5,0.5
2025-03-06,0.5,0.75,0.5,0.25,0.5,0.5
2025-03-07,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5
2025-03-08,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.5
2025-03-09,0.6666666666666666,0.8333333333333334,0.3333333333333333,0.16666666666666666,0.6666666666666666,0.5
2025-03-10,-0.25,0.375,0.25,0.625,-0.25,0.5
2025-03-11,-1.0,0.0,0.0,1.0,-1.0,0.5
2025-03-12,,,,,,
2025-03-13,0.0,0.5,0.3333333333333333,0.5,0.0,0.5
2025-03-14,0.0,0.5,0.2857142857142857,0.5,0.0,0.5
2025-03-15,-0.5,0.25,0.0,0.75,-0.5,0.5
2025-03-16,-0.5,0.25,0.5,0.75,-0.5,0.5
2025-03-17,0.5,0.75,0.0,0.25,0.5,0.5
2025-03-18,0.4,0.7,0.6,0.3,0.4,0.5
2025-03-19,0.0,0.5,1.0,0.5,0.0,0.5
2025-03-20,0.0,0.5,0.0,0.5,0.0,0.5
2025-03-21,1.0,1.0,0.0,0.0,1.0,0.5
2025-03-22,0.0,0.5,1.0,0.5,0.0,0.5
